symptom1,symptom2,symptom3,disease,severity,category
fever,cough,fatigue,flu,moderate,viral
fever,runny_nose,sore_throat,common_cold,low,viral
headache,nausea,dizziness,migraine,moderate,neurological
chest_pain,breathlessness,sweating,heart_attack,critical,cardiac
abdominal_pain,vomiting,diarrhea,food_poisoning,moderate,digestive
high_fever,body_ache,chills,viral_fever,moderate,viral
itching,skin_rash,redness,allergy,low,immune
joint_pain,swelling,fever,dengue,high,infectious
burning_urination,frequent_urination,lower_abdominal_pain,urinary_tract_infection,moderate,urinary
thirst,frequent_urination,fatigue,diabetes_warning,high,metabolic
weight_loss,excessive_thirst,frequent_urination,diabetes_warning,high,metabolic
shortness_of_breath,wheezing,cough,asthma,high,respiratory
severe_stomach_pain,vomiting,fever,appendicitis_warning,critical,surgical
loss_of_appetite,nausea,fatigue,hepatitis_warning,high,liver
back_pain,pain_when_bending,muscle_stiffness,muscle_strain,low,musculoskeletal
eye_irritation,red_eyes,watery_eyes,conjunctivitis,low,eye
sneezing,runny_nose,nasal_congestion,allergic_rhinitis,low,ent
fever,rash,joint_pain,chikungunya_warning,high,infectious
palpitations,anxiety,sweating,panic_attack,moderate,mental_health
headache,blurred_vision,nausea,high_blood_pressure_warning,high,cardiac
high_fever,sweating,weakness,malaria,high,infectious
fever,weakness,loss_of_appetite,typhoid,high,infectious
sore_throat,fever,body_ache,covid_like_infection,high,viral
pale_skin,fatigue,shortness_of_breath,anemia,moderate,blood
dry_mouth,thirst,dark_urine,dehydration,moderate,fluid_balance
facial_pain,nasal_congestion,headache,sinusitis,moderate,ent
knee_pain,swelling,stiffness,arthritis,moderate,musculoskeletal
constipation,bloating,abdominal_discomfort,constipation,low,digestive
fever,ear_pain,hearing_difficulty,ear_infection,moderate,ent
frequent_urination,back_pain,fever,kidney_infection,high,urinary
yellow_skin,abdominal_pain,fatigue,jaundice,high,liver
swollen_legs,fatigue,shortness_of_breath,heart_failure,high,cardiac
confusion,fever,stiff_neck,meningitis,critical,neurological
bloody_stool,abdominal_pain,weight_loss,colorectal_cancer,high,oncological
cough_with_blood,weight_loss,fever,tuberculosis,high,infectious
severe_headache,vomiting,sensitivity_to_light,migraine_with_aura,moderate,neurological
hair_loss,fatigue,weight_gain,hypothyroidism,moderate,endocrine
increased_hunger,blurred_vision,frequent_urination,diabetes_mellitus,high,metabolic
chest_tightness,wheezing,shortness_of_breath,chronic_obstructive_pulmonary_disease,high,respiratory
abdominal_swelling,pain,nausea,ovarian_cyst,moderate,gynecological
irregular_periods,weight_gain,hirsutism,polycystic_ovary_syndrome,moderate,endocrine
burning_chest_pain,acid_reflux,belching,gerd,moderate,digestive
sudden_weakness,numbness,confusion,stroke,critical,neurological
painful_swallowing,fever,swollen_glands,tonsillitis,moderate,ent
red_itchy_eyes,discharge,swelling,pink_eye,low,eye
ringing_in_ears,hearing_loss,dizziness,tinnitus,moderate,ent
painful_urination,blood_in_urine,fever,bladder_infection,moderate,urinary
excessive_sweating,palpitations,anxiety,hyperthyroidism,moderate,endocrine
joint_swelling,pain,stiffness,rheumatoid_arthritis,high,autoimmune
skin_lesions,itching,scaling,psoriasis,moderate,skin
memory_loss,confusion,personality_changes,alzheimers_disease,high,neurological
chest_pain,radiation_to_arm,nausea,myocardial_infarction,critical,cardiac
abdominal_pain,jaundice,dark_urine,pancreatitis,high,digestive
swollen_ankles,fatigue,irregular_heartbeat,atrial_fibrillation,high,cardiac
fever,night_sweats,weight_loss,hiv_aids,high,infectious
severe_abdominal_pain,rebound_tenderness,nausea,peritonitis,critical,surgical
vision_changes,floaters,flashes,retinal_detachment,high,eye
difficulty_swallowing,chest_pain,weight_loss,esophageal_cancer,high,oncological
blood_in_stool,change_in_bowel_habits,abdominal_pain,colon_cancer,high,oncological
frequent_headaches,visual_disturbances,seizures,brain_tumor,high,neurological
painful_joints,swelling,morning_stiffness,gout,moderate,metabolic
increased_thirst,polyuria,blurred_vision,diabetic_ketoacidosis,critical,metabolic
shortness_of_breath,cyanosis,wheezing,bronchitis,moderate,respiratory
abdominal_distension,pain,nausea,intestinal_obstruction,high,surgical
fever,chills,productive_cough,pneumonia,high,respiratory
skin_ulcers,pain,numbness,diabetic_neuropathy,moderate,metabolic
excessive_bleeding,bruising,easy_fatigue,leukemia,high,blood
sudden_vision_loss,pain,red_eye,glaucoma,high,eye
hearing_loss,vertigo,nausea,labyrinthitis,moderate,ent
painful_intercourse,vaginal_discharge,itching,vaginitis,moderate,gynecological
breast_lump,pain,nipple_discharge,breast_cancer,high,oncological
testicle_pain,swelling,nausea,testicular_torsion,critical,urological
prostate_pain,frequent_urination,blood_in_urine,prostate_cancer,high,urological
menstrual_cramps,heavy_bleeding,pain,endometriosis,moderate,gynecological
hot_flashes,night_sweats,mood_changes,menopause,low,endocrine
erectile_dysfunction,pain,discharge,prostatitis,moderate,urological
vaginal_bleeding,pain,discharge,uterine_fibroids,moderate,gynecological
abdominal_pain,vomiting,blood_in_stool,peptic_ulcer,moderate,digestive
fever,rash,swollen_lymph_nodes,lyme_disease,moderate,infectious
muscle_weakness,fatigue,difficulty_swallowing,multiple_sclerosis,high,neurological
tremor,rigidity,bradykinesia,parkinsons_disease,high,neurological
hallucinations,delusions,disorganized_thinking,schizophrenia,high,mental_health
depression,anxiety,insomnia,major_depressive_disorder,moderate,mental_health
obsessive_thoughts,compulsive_behaviors,anxiety,obsessive_compulsive_disorder,moderate,mental_health
panic_attacks,avoidance,anxiety,post_traumatic_stress_disorder,moderate,mental_health
mood_swings,impulsivity,irritability,bipolar_disorder,high,mental_health
fatigue,weakness,muscle_pain,fibromyalgia,moderate,musculoskeletal
chronic_fatigue,unrefreshing_sleep,pain,chronic_fatigue_syndrome,moderate,systemic
dry_eyes,dry_mouth,joint_pain,sjogrens_syndrome,moderate,autoimmune
rash,photosensitivity,joint_pain,lupus,high,autoimmune
muscle_weakness,difficulty_climbing_stairs,myasthenia_gravis,high,neurological
numbness,tingling,weakness,peripheral_neuropathy,moderate,neurological
abnormal_heartbeat,fainting,dizziness,arrhythmia,high,cardiac
high_blood_pressure,headache,vision_changes,hypertension,moderate,cardiac
low_blood_pressure,dizziness,fainting,hypotension,moderate,cardiac
cough,shortness_of_breath,chest_pain,pulmonary_embolism,critical,respiratory
blood_clots,pain,swelling,deep_vein_thrombosis,high,vascular
varicose_veins,pain,swelling,venous_insufficiency,moderate,vascular
abdominal_aortic_aneurysm,pain,shock,aortic_aneurysm,critical,vascular